Coin,Signal Type,Analysis Type,Month,Window (months),Trend Value,Price,Future Price,Price Change (%),Followed by Negative Trend,Price Drop > 10%,Followed by Positive Trend,Price Rise > 10%
bitcoin,Peak,Normalized,2019-05,1,2.1882189738308595,7070.34423828125,10187.993286132812,44.094727820627874,False,False,,
bitcoin,Peak,Normalized,2019-05,3,2.1882189738308595,7070.34423828125,10350.889404296877,46.39866257506443,False,False,,
bitcoin,Peak,Normalized,2019-05,6,2.1882189738308595,7070.34423828125,8221.460205078125,16.280904125775677,True,False,,
bitcoin,Peak,Normalized,2019-06,1,2.416190233228335,10187.993286132812,10793.8056640625,5.94633664270546,False,False,,
bitcoin,Peak,Normalized,2019-06,3,2.416190233228335,10187.993286132812,9163.495361328123,-10.055934432143419,True,True,,
bitcoin,Peak,Normalized,2019-06,6,2.416190233228335,10187.993286132812,7262.174072265625,-28.71830724358259,True,True,,
bitcoin,Peak,Normalized,2020-03,1,1.2135870333746384,7078.2698974609375,7684.7242431640625,8.567833022595925,False,False,,
bitcoin,Peak,Normalized,2020-03,3,1.2135870333746384,7078.2698974609375,9444.17236328125,33.424869354995785,False,False,,
bitcoin,Peak,Normalized,2020-03,6,1.2135870333746384,7078.2698974609375,11111.845458984377,56.985331443356415,False,False,,
bitcoin,Peak,Normalized,2020-05,1,1.2805501909890546,9126.226806640623,9444.17236328125,3.4838664803867943,False,False,,
bitcoin,Peak,Normalized,2020-05,3,1.2805501909890546,9126.226806640623,11593.715576171877,27.03733779370688,False,False,,
bitcoin,Peak,Normalized,2020-05,6,1.2805501909890546,9126.226806640623,16599.813720703125,81.89131250413817,False,False,,
bitcoin,Peak,Normalized,2020-08,1,0.5568998626725438,11593.715576171877,11111.845458984377,-4.156304456682285,False,False,,
bitcoin,Peak,Normalized,2020-08,3,0.5568998626725438,11593.715576171877,16599.813720703125,43.17941139439449,False,False,,
bitcoin,Peak,Normalized,2020-08,6,0.5568998626725438,11593.715576171877,42241.78662109375,264.35072383448573,False,False,,
bitcoin,Peak,Normalized,2020-11,1,2.2821773229382436,16599.813720703125,23874.97509765625,43.82676516351274,False,False,,
bitcoin,Peak,Normalized,2020-11,3,2.2821773229382436,16599.813720703125,42241.78662109375,154.47144969109024,False,False,,
bitcoin,Peak,Normalized,2020-11,6,2.2821773229382436,16599.813720703125,46312.0927734375,178.99164142834633,False,False,,
bitcoin,Peak,Normalized,2020-12,1,2.507878741548929,23874.97509765625,33194.4658203125,39.03455683005559,False,False,,
bitcoin,Peak,Normalized,2020-12,3,2.507878741548929,23874.97509765625,52719.3232421875,120.81414965481088,False,False,,
bitcoin,Peak,Normalized,2020-12,6,2.507878741548929,23874.97509765625,35630.8798828125,49.23944312850948,False,False,,
bitcoin,Peak,Normalized,2021-01,1,2.9617863157975233,33194.4658203125,42241.78662109375,27.255509547151608,False,False,,
bitcoin,Peak,Normalized,2021-01,3,2.9617863157975233,33194.4658203125,57174.830078125,72.24205500887541,False,False,,
bitcoin,Peak,Normalized,2021-01,6,2.9617863157975233,33194.4658203125,37064.67041015625,11.659186235422043,False,False,,
bitcoin,Peak,Normalized,2021-02,1,2.140974048398551,42241.78662109375,52719.3232421875,24.803725076963755,False,False,,
bitcoin,Peak,Normalized,2021-02,3,2.140974048398551,42241.78662109375,46312.0927734375,9.635733897465435,False,False,,
bitcoin,Peak,Normalized,2021-02,6,2.140974048398551,42241.78662109375,44141.9033203125,4.498192077581095,False,False,,
bitcoin,Peak,Normalized,2022-01,1,-0.07101276477138335,41465.083984375,40448.84765625,-2.4508242368638187,True,False,,
bitcoin,Peak,Normalized,2022-01,3,-0.07101276477138335,41465.083984375,42070.1142578125,1.4591319136492993,True,False,,
bitcoin,Peak,Normalized,2022-01,6,-0.07101276477138335,41465.083984375,21674.224609375,-47.72897453302555,True,True,,
bitcoin,Peak,Normalized,2022-06,1,1.4403429364000202,25310.79736328125,21674.224609375,-14.367673612613565,True,True,,
bitcoin,Peak,Normalized,2022-06,3,1.4403429364000202,25310.79736328125,20111.60546875,-20.541399071345715,True,True,,
bitcoin,Peak,Normalized,2022-06,6,1.4403429364000202,25310.79736328125,17108.04150390625,-32.408128995868225,True,True,,
bitcoin,Peak,Normalized,2023-03,1,-0.3913741650877935,25104.392578125,28954.64892578125,15.336982704019753,False,False,,
bitcoin,Peak,Normalized,2023-03,3,-0.3913741650877935,25104.392578125,28470.5927734375,13.408809573212608,False,False,,
bitcoin,Peak,Normalized,2023-03,6,-0.3913741650877935,25104.392578125,26330.24951171875,4.883037618930141,True,False,,
bitcoin,Peak,Normalized,2023-12,1,1.845199692380734,40579.517578125,43088.5263671875,6.182943856422332,False,False,,
bitcoin,Peak,Normalized,2023-12,3,1.845199692380734,40579.517578125,66393.9228515625,63.614372013513396,False,False,,
bitcoin,Peak,Normalized,2023-12,6,1.845199692380734,40579.517578125,65169.36328125,60.59669303801809,False,False,,
bitcoin,Peak,Normalized,2024-01,1,2.3059497883864224,43088.5263671875,52390.1171875,21.58716392630171,False,False,,
bitcoin,Peak,Normalized,2024-01,3,2.3059497883864224,43088.5263671875,65951.44140625,53.06033175567806,False,False,,
bitcoin,Peak,Normalized,2024-01,6,2.3059497883864224,43088.5263671875,62749.4423828125,45.629121423370506,False,False,,
bitcoin,Peak,Normalized,2024-03,1,2.750613679480991,66393.9228515625,65951.44140625,-0.6664487144429767,False,False,,
bitcoin,Peak,Normalized,2024-03,3,2.750613679480991,66393.9228515625,65169.36328125,-1.8443850245906679,False,False,,
bitcoin,Peak,Normalized,2024-03,6,2.750613679480991,66393.9228515625,60344.673828125,-9.111148676908067,True,False,,
bitcoin,Peak,Normalized,2024-11,1,2.222592750281725,83281.275390625,97369.029296875,16.91587195341615,False,False,,
bitcoin,Peak,Normalized,2024-11,3,2.222592750281725,83281.275390625,91945.111328125,10.403101893988635,True,False,,
bitcoin,Trough,Normalized,2015-04,1,-2.4748737341529163,239.26000213623047,235.6264991760254,-1.5186420328359878,,,False,False
bitcoin,Trough,Normalized,2015-04,3,-2.4748737341529163,239.26000213623047,278.97350311279297,16.598470543333995,,,False,True
bitcoin,Trough,Normalized,2015-04,6,-2.4748737341529163,239.26000213623047,279.9887466430664,17.02279701713189,,,False,True
bitcoin,Trough,Normalized,2015-05,1,-1.7638342073763937,235.6264991760254,245.617000579834,4.239973618733432,,,False,False
bitcoin,Trough,Normalized,2015-05,3,-1.7638342073763937,235.6264991760254,250.00600051879883,6.1026673116384895,,,False,False
bitcoin,Trough,Normalized,2015-05,6,-1.7638342073763937,235.6264991760254,372.2212600708008,57.97088246544456,,,False,True
bitcoin,Trough,Normalized,2015-09,1,-1.3540064007726598,237.65375137329104,279.9887466430664,17.813729017590095,,,False,True
bitcoin,Trough,Normalized,2015-09,3,-1.3540064007726598,237.65375137329104,406.63724517822266,71.10491327338795,,,False,True
bitcoin,Trough,Normalized,2015-09,6,-1.3540064007726598,237.65375137329104,422.0835037231446,77.60439348595145,,,False,True
bitcoin,Trough,Normalized,2016-04,1,0.12464639250231777,437.21849822998047,492.8047561645508,12.713610736874973,,,False,True
bitcoin,Trough,Normalized,2016-04,3,0.12464639250231777,437.21849822998047,653.49951171875,49.46748922206031,,,False,True
bitcoin,Trough,Normalized,2016-04,6,0.12464639250231777,437.21849822998047,660.1954956054688,50.99898523922942,,,False,True
bitcoin,Trough,Normalized,2016-09,1,-0.6232319625115875,596.2274932861328,660.1954956054688,10.728791114071848,,,False,True
bitcoin,Trough,Normalized,2016-09,3,-0.6232319625115875,596.2274932861328,858.8079986572266,44.040321576563045,,,False,True
bitcoin,Trough,Normalized,2016-09,6,-0.6232319625115875,596.2274932861328,1108.9632873535156,85.9966707072527,,,False,True
bitcoin,Trough,Normalized,2017-04,1,0.9814954576223638,1207.1499938964844,1936.6799926757812,60.43408047615462,,,False,True
bitcoin,Trough,Normalized,2017-04,3,0.9814954576223638,1207.1499938964844,2531.7775268554688,109.73180960580562,,,False,True
bitcoin,Trough,Normalized,2017-04,6,0.9814954576223638,1207.1499938964844,5360.982421875,344.1024271201476,,,False,True
bitcoin,Trough,Normalized,2017-07,1,1.2822225549146562,2531.7775268554688,3744.83251953125,47.913174827111526,,,False,True
bitcoin,Trough,Normalized,2017-07,3,1.2822225549146562,2531.7775268554688,5360.982421875,111.74776871226418,,,False,True
bitcoin,Trough,Normalized,2017-07,6,1.2822225549146562,2531.7775268554688,12861.99755859375,408.0224238568337,,,False,True
bitcoin,Trough,Normalized,2017-10,1,1.4819179329824614,5360.982421875,8427.744995117188,57.20523463625887,,,False,True
bitcoin,Trough,Normalized,2017-10,3,1.4819179329824614,5360.982421875,12861.99755859375,139.9186668867173,,,False,True
bitcoin,Trough,Normalized,2017-10,6,1.4819179329824614,5360.982421875,8128.9500732421875,51.63172406745353,,,True,True
bitcoin,Trough,Normalized,2019-03,1,-1.3852616257190227,3997.429443359375,4798.7586669921875,20.046113008048202,,,True,True
